
"UF de notificao";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";7;41;64;107;155;314;695;730;1119;943;971;616;5762
"12 Acre";4;7;3;23;49;84;132;325;486;299;221;408;2041
"13 Amazonas";74;267;613;936;848;752;1020;1688;3257;4473;3239;1587;18754
"14 Roraima";-;6;6;5;41;99;247;172;650;652;411;189;2478
"15 Pará";21;131;116;227;384;434;1015;1699;2552;2677;2305;1480;13041
"16 Amapá";1;2;1;29;31;78;184;259;414;491;303;240;2033
"17 Tocantins";-;31;40;118;178;329;703;1070;1278;1450;938;618;6753
"21 Maranhão";2;16;47;99;271;561;842;1194;1771;1742;1230;672;8447
"22 Piauí";1;69;46;62;112;126;189;372;814;1133;588;291;3803
"23 Ceará";152;638;474;503;483;648;1033;1699;2711;3071;2509;1216;15137
"24 Rio Grande do Norte";4;134;265;309;350;573;801;1442;1678;1788;1492;1014;9850
"25 Paraíba";10;118;133;136;142;273;165;1000;1507;1826;912;465;6687
"26 Pernambuco";5;370;399;352;465;1220;2431;3039;7372;8074;4468;3087;31282
"27 Alagoas";7;19;35;54;67;87;258;465;540;410;236;115;2293
"28 Sergipe";6;292;512;929;942;987;856;1152;830;568;626;722;8422
"29 Bahia";44;282;460;900;1417;2141;3482;4679;9401;6545;3640;2612;35603
"31 Minas Gerais";97;692;1506;2219;3336;5456;7341;10681;14397;15135;12191;6101;79152
"32 Espírito Santo";46;912;1421;1920;2369;2453;3413;3593;4508;5016;3169;1820;30640
"33 Rio de Janeiro";1088;1437;1731;3138;2975;3984;7121;11951;15631;16915;13938;6150;86059
"35 São Paulo";343;8793;13883;18579;22496;26992;30914;36989;37779;36136;26976;16036;275916
"41 Paraná";35;374;744;1361;2213;4067;5423;7461;10275;10864;7194;3164;53175
"42 Santa Catarina";28;227;493;1378;1948;3011;5394;8306;11956;10494;8284;4904;56423
"43 Rio Grande do Sul";112;740;2449;3242;5601;9928;10814;12981;15579;14828;12233;5864;94371
"50 Mato Grosso do Sul";328;495;798;1048;1125;1146;1350;2987;4440;3300;2277;988;20282
"51 Mato Grosso";11;122;156;203;310;640;839;962;1758;1858;1328;370;8557
"52 Goiás";90;133;172;319;431;1051;1777;2137;4758;5216;4064;2451;22599
"53 Distrito Federal";8;57;54;102;164;635;1505;1714;1868;2120;2293;1099;11619
"Total";2524;16405;26621;38298;48903;68069;89944;120747;159329;158024;118036;64279;911179
